scenario_key,scenario_value,equilibrium_class,trajectory_class,tail_sd,A_star,F_star,K_state,rho_star,bifurcation_type,multistable,R_P,regime_shift,winner_strategy,R1_resistance,R2_resilience,R3_recovery,latitude,T_return,D_star,K_star,peak_larvae,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping
T,45.0,coexistence,coexistence,1.0104046160689915e-14,1.879874752798121,0.4617910883334545,1.974445549050423,0.7392291944640964,stable,False,2.6264811083993034,0,C,0.8039651424877695,0.513719588166335,0.9999999958577754,0.95,3.3096443907817195,0.33870216949817783,1.974445549050423,14.143270970398987,False,0,False,0.33870216949817633,False
T,46.42857142857143,coexistence,coexistence,9.256712640521688e-15,1.856351919169713,0.41756119899329697,1.9733465657233429,0.7398238687695897,stable,False,2.5687338610046653,0,C,0.8028049050648592,0.49405565010968266,0.9999999990867862,0.95,3.3184761143415646,0.3444291039946516,1.9733465657233429,14.04826466701014,False,0,False,0.3444291039946513,False
T,47.857142857142854,coexistence,coexistence,1.1030649155397167e-14,1.834846660306424,0.37596293817788057,1.9722413204127067,0.7402068631473621,stable,False,2.4996252360396163,0,C,0.8016595587247829,0.4747603584816098,0.9999999939242684,0.95,3.3241853187685315,0.3501918880632866,1.9722413204127067,13.960163474924569,False,0,False,0.35019188806328827,False
T,49.285714285714285,coexistence,coexistence,7.40688794553306e-15,1.8151389196640957,0.33680626803567637,1.9711304364121,0.7403982801040605,stable,False,2.419908696271215,0,C,0.8005211868893047,0.4566104798124928,0.9999999914035763,0.95,3.3270449830538245,0.35598732758242935,1.9711304364121,13.878333338240878,False,0,False,0.3559873275824283,False
T,50.714285714285715,coexistence,coexistence,6.149740365614688e-15,1.797039060271938,0.2999169608733488,1.9700144730939408,0.7404156883564451,stable,False,2.3304674638805785,0,C,0.7993828230787096,0.4405034939161212,0.9999999952019286,0.95,3.3273052601705153,0.3618125552527898,1.9700144730939408,13.802213146985569,False,0,False,0.3618125552527897,False
T,52.142857142857146,coexistence,coexistence,6.996343271235609e-15,1.7803828118550027,0.26513528003873676,1.9688939334860358,0.7402744943739202,stable,False,2.232300530970876,0,C,0.798238315493414,0.42748617040093895,0.9999999945668839,0.95,3.3251952148584873,0.36766499185754375,1.9688939334860358,13.731304677942262,False,0,False,0.36766499185754464,False
T,53.57142857142857,coexistence,coexistence,5.745480133379709e-15,1.7650271750193192,0.23231472849675633,1.9677692711659172,0.7399882484430728,stable,False,2.1265066603567804,0,C,0.7970822133662241,0.4188000403954337,0.9999999905216602,0.95,3.3209244402150255,0.37354231097584917,1.9677692711659172,13.665164081687864,False,0,False,0.3735423109758483,False
T,55.0,coexistence,coexistence,4.066104991912658e-15,1.7508471039704707,0.20132087239769464,1.9666408958445387,0.7395689012128992,stable,False,2.0142663988169467,0,C,0.7959096725914657,0.41595290737758606,0.9999999981769607,0.95,3.3146846031933053,0.37944241044615207,1.9666408958445387,13.603394754105462,False,0,False,0.3794424104461526,False
T,56.42857142857143,coexistence,coexistence,4.977630587419743e-15,1.73773277234883,0.17203025846185774,1.96550917867361,0.7390270183410405,stable,False,1.8968227627509004,0,C,0.7947163754849423,0.42083116609211313,0.9999999890440058,0.95,3.3066508868869917,0.38536338519002267,1.96550917867361,13.545641222298713,False,0,False,0.3853633851900233,False
T,57.85714285714286,coexistence,coexistence,3.5211168531764988e-15,1.7255873425747539,0.14432941425483198,1.9643744562488905,0.7383719605926032,stable,False,1.7754606360414742,0,C,0.7934984641507441,0.4358789649393007,0.9999999961457829,0.95,3.296983326056976,0.39130350678066816,1.9643744562488905,13.491584031543534,False,0,False,0.39130350678066694,False
T,59.285714285714285,coexistence,coexistence,3.257326998510068e-15,1.7143250875783145,0.1181139444041434,1.9632370349144272,0.7376120378992631,stable,False,1.6514855736175398,0,C,0.7922524827562883,0.4643909449457848,0.9999999909341559,0.95,3.2858280740608907,0.3972612013720503,1.9632370349144272,13.440935257093681,False,0,False,0.3972612013720497,False
T,60.714285714285715,coexistence,coexistence,2.3096908606038802e-15,1.7038698599496513,0.09328770051585084,1.9620971935412148,0.7367546373807169,stable,False,1.5262021759129696,0,C,0.7909753299865507,0.49048076520390516,0.9999999849396931,0.95,3.2733185327501166,0.4032350355555884,1.9620971935412148,13.393434797451295,False,0,False,0.40323503555558793,False
T,62.14285714285714,coexistence,coexistence,1.0335613878656588e-15,1.6941537819108774,0.06976203643015566,1.9609551867424804,0.7358063348502843,stable,False,1.400892614995139,0,C,0.7896642174061099,0.5366628330890022,0.9999999812878726,0.95,3.259576432339173,0.4092236998826516,1.9609551867424804,13.348847071492603,False,0,False,0.409223699882651,False
T,63.57142857142857,coexistence,coexistence,8.7136595140917915e-16,1.6851161508941426,0.04745513218689989,1.9598112474557967,0.7347729895294349,stable,False,1.2767956897423345,0,C,0.7883166342633712,0.6179431402234652,0.9999999868178658,0.95,3.244712814801394,0.4152259956570308,1.9598112474557967,13.306958201851216,False,0,False,0.415225995657031,False
T,65.0,coexistence,coexistence,2.5060888363265255e-13,1.6767025176455144,0.026291382706042372,1.9586655890963578,0.7826535790369563,stable,False,1.155086830598058,0,C,0.7869303175120086,0.7606348186210041,0.9999989150085483,0.85,4.080548248433076,0.42124082393687684,1.9586655890963578,13.26757359103013,False,0,False,0.42124082393678614,False
