strategy,uB,feasible,J,R1_resistance,R2_resilience,R3_recovery,latitude,rho_star,T_return,D_star,K_star,peak_larvae,canopy_collapse,max_consecutive_K_below,damage_threshold_exceeded,mean_D_longrun,functional_tipping,A_star,F_star,K_star_state,uP_mean_final,uC_mean_final,uP_conv_eval,uC_conv_eval,winner
A,0.0,True,31.566901611219468,-0.7185008516223024,0.8062424654324984,0.9970805618518058,0.0,1.1557577252890938,nan,0.002637033675035604,2.0400571354172676,0.09329302512800695,False,0,False,0.01849878412349925,False,0.006372061816721461,0.19001349602320755,2.0400571354172676,0.026073392744375864,0.0,0.018480374274710613,0.0,C
B,0.4,True,30.290842157124672,-0.6916801000341124,0.8292440966758685,0.9986263319762211,0.0,1.098230342691753,nan,0.0014594695402916056,2.0402679017740026,0.05400312853770832,False,0,False,0.017117313590380916,False,0.0036836531717497054,0.11010774902920877,2.0402679017740026,0.02004993404725486,0.0,0.010844482180438804,0.0,C
C,0.0,True,10.554770292902855,0.5618977950171671,0.08595415143796914,0.9999783926240826,1.0,1.0097943714426165,nan,0.00026667274770950756,2.0404965771261225,0.01046856856365175,False,0,False,0.005217709497057746,False,0.0007130425546501998,0.018753948813415106,2.0404965771261225,0.00505013594561338,0.016665229320049758,0.0017933438889904832,0.00933772492802703,C
