equilibrium_class,frequency,ci_low,ci_high
coexistence,0.08888888888888889,0.05,0.13333333333333333
parasitoid_free,0.42777777777777776,0.35,0.5
trivial,0.48333333333333334,0.4111111111111111,0.5611111111111111
