label,probability,ci_low,ci_high
joint_LHS,0.9111111111111111,0.8666666666666667,0.95
T,0.0,0.0,0.0
sigma_A,0.4,0.13333333333333333,0.6
sigma_F,0.4666666666666667,0.2,0.7333333333333333
delta,0.26666666666666666,0.06666666666666667,0.4666666666666667
mu_S,0.8,0.6,1.0
B_index,0.2,0.0,0.4
phi,0.0,0.0,0.0
beta,0.3333333333333333,0.13166666666666677,0.6
R_B,0.7333333333333333,0.5316666666666667,0.9333333333333333
