plane,x,y,code,A_pf,K_pf,maxeig_pf,A_co,F_co,K_co,maxeig_co
phi_RB,0.01,6.0,1,0.604479539407262,1.7087747517997685,0.7456919601161477,0.6044795394072612,-1.8714852306880713e-20,1.7087747517997685,0.7456919601161479
phi_RB,0.01473684210526316,6.0,1,0.6038584338225031,1.7070869174726846,0.7454326106615997,0.6038584338225044,1.0924294045620106e-20,1.7070869174726846,0.7454326106615988
phi_RB,0.019473684210526317,6.0,1,0.6032392543560381,1.7054041850986579,0.7451738072167569,0.6032392543560366,-1.9131166896961754e-21,1.7054041850986579,0.745173807216758
phi_RB,0.024210526315789474,6.0,1,0.6026219903837075,1.7037265270131223,0.7449155472055835,0.6026219903837069,-2.1415247636148644e-20,1.7037265270131223,0.7449155472055837
phi_RB,0.02894736842105263,6.0,1,0.6020066313671033,1.7020539157720853,0.7446578280711353,0.6020066313671031,-2.6981187650478846e-21,1.702053915772085,0.7446578280711356
phi_RB,0.03368421052631579,6.0,1,0.601393166852619,1.7003863241497872,0.7444006472753885,0.6013931668526199,-9.276433135347268e-21,1.7003863241497872,0.744400647275388
phi_RB,0.03842105263157895,6.0,1,0.6007815864705738,1.698723725136398,0.7441440022990294,0.6007815864705752,-1.417330277977641e-20,1.698723725136398,0.7441440022990292
phi_RB,0.04315789473684211,6.0,1,0.6001718799343001,1.697066091935742,0.7438878906412807,0.6001718799342989,-8.424625118370356e-21,1.697066091935742,0.7438878906412807
phi_RB,0.04789473684210527,6.0,1,0.5995640370392704,1.6954133979630523,0.7436323098197078,0.5995640370392706,7.97744736142539e-21,1.6954133979630523,0.7436323098197075
phi_RB,0.052631578947368425,6.0,1,0.5989580476622346,1.6937656168427544,0.743377257370033,0.5989580476622345,-1.9011416145474972e-20,1.6937656168427544,0.743377257370033
phi_RB,0.05736842105263158,6.0,1,0.5983539017603491,1.6921227224062805,0.7431227308459633,0.5983539017603504,-1.701395389243449e-20,1.6921227224062803,0.7431227308459623
phi_RB,0.06210526315789474,6.0,1,0.5977515893701333,1.6904846886899145,0.7428687278190711,0.5977515893701333,-2.182854269387644e-20,1.6904846886899145,0.7428687278190711
phi_RB,0.0668421052631579,6.0,1,0.5971511006071774,1.688851489932653,0.7426152458784405,0.5971511006071774,-6.0962041863969985e-21,1.688851489932653,0.7426152458784405
phi_RB,0.07157894736842106,6.0,1,0.5965524256649343,1.6872231005741076,0.7423622826306159,0.5965524256649355,-3.250571350227045e-20,1.6872231005741074,0.7423622826306154
phi_RB,0.07631578947368421,6.0,1,0.5959555548138793,1.6855994952524322,0.7421098356994418,0.5959555548138783,7.553860609757915e-21,1.6855994952524322,0.7421098356994427
phi_RB,0.08105263157894736,6.0,1,0.595360478400777,1.6839806488022735,0.7418579027258706,0.5953604784007763,6.536773990015952e-21,1.6839806488022735,0.7418579027258706
