plane,x,y,code,A_pf,K_pf,maxeig_pf,A_co,F_co,K_co,maxeig_co
beta_B,0.005,0.5,1,4.3603775350519065,1.6294035760948609,0.2422463536602491,4.3603775350519065,3.689445655733496e-21,1.6294035760948609,0.2422463536602491
beta_B,0.006842105263157895,0.5,1,4.360377535072999,1.629403576095027,0.30798586690246466,4.360377535072999,1.2815031016492426e-21,1.629403576095027,0.30798586690246466
beta_B,0.00868421052631579,0.5,1,4.3603775350748855,1.6294035760950552,0.42675423257260553,4.3603775350748855,-8.328743253148096e-21,1.6294035760950552,0.42675423257260553
beta_B,0.010526315789473686,0.5,1,4.360377535050236,1.6294035760948935,0.5831176206754007,4.360377535050236,5.718446431449551e-20,1.6294035760948935,0.5831176206754007
beta_B,0.01236842105263158,0.5,1,4.360377535044009,1.629403576094872,0.7870362142475995,4.360377535044009,1.3930248176603796e-19,1.629403576094872,0.7870362142475996
beta_B,0.014210526315789476,0.5,2,4.360377535047314,1.6294035760948078,1.0507185150922103,4.159680491321913,0.027848855541865634,1.6311679584019807,0.9494404703511661
beta_B,0.01605263157894737,0.5,2,4.360377535035934,1.629403576094883,1.3890606808978905,3.2626896124883538,0.1416921594208355,1.6400130302214395,0.5703341520626065
beta_B,0.017894736842105265,0.5,2,4.360377535031519,1.6294035760948997,1.820161203074756,2.661250624109866,0.2041387037849316,1.6471161540136465,0.6227005742540548
beta_B,0.01973684210526316,0.5,2,4.360377535026582,1.6294035760949255,2.36592244929343,2.23583457301647,0.23804454682636483,1.652951119133442,0.6656479602115235
beta_B,0.021578947368421055,0.5,2,4.360377535020801,1.6294035760949603,3.0527520553672933,1.9217727750250764,0.2554964176555478,1.6578313194255305,0.7014378682673947
beta_B,0.02342105263157895,0.5,2,4.36037753501353,1.6294035760950032,3.9123789824026294,1.6817689575550343,0.26319275541311193,1.6619736849665845,0.7316692565751668
beta_B,0.025263157894736845,0.5,2,4.360377535004834,1.6294035760950587,4.982801237871335,1.4931115185418349,0.2649957175795699,1.6655336790553708,0.7575079203305098
beta_B,0.02710526315789474,0.5,2,4.3603775349940115,1.6294035760951266,6.309383810544096,1.34131594262659,0.2632067671240391,1.6686258367095972,0.7798225914586356
beta_B,0.028947368421052635,0.5,2,4.360377534895274,1.6294035760623364,7.946128977763682,1.2167732322812357,0.25923486862977646,1.6713364816679586,0.7992722679170616
beta_B,0.03078947368421053,0.5,2,4.360377534964483,1.6294035760953154,9.95714261391747,1.112889753603371,0.25396136683253134,1.673731937867918,0.8163646751781307
beta_B,0.03263157894736842,0.5,2,4.360377534944484,1.6294035760954422,12.418324384926494,1.0250072023923082,0.24794667605165863,1.6758640140567966,0.8314964925162365
beta_B,0.034473684210526316,0.5,2,4.36037753510601,1.629403576151041,15.419312668423247,0.949750214381049,0.2415511953386938,1.6777737707867084,0.8449816034597131
beta_B,0.03631578947368421,0.5,2,4.360377535041599,1.629403576094767,19.065718260607728,0.8846183297891012,0.23500807404463875,1.6794941696341978,0.8570712785715942
