idx,A0,F0,K0,meanD
0,2.32412858518233,0.21943921987602616,1.7123548379451874,0.520425850574138
1,2.5772077805350335,0.34868401452968195,1.7123548379451874,0.520425850574138
2,0.29159027018407213,0.48781117581837796,1.7123548379451874,0.520425850574138
3,2.2858077089511553,0.3930321526384769,1.7123548379451874,0.520425850574138
4,0.3930597616998822,0.22519296894778357,1.7123548379451874,0.520425850574138
5,1.118686092455418,0.4633824944243009,1.7123548379451874,0.520425850574138
6,1.9351567090411872,0.411380806635415,1.7123548379451874,0.520425850574138
7,1.33580845449372,0.11361936089238844,1.7123548379451874,0.5204258505741377
8,1.668208513177346,0.03190862805208766,1.7123548379451874,0.520425850574138
9,2.4846172042578205,0.3158321995610324,1.7123548379451874,0.520425850574138
10,2.276682342855268,0.17726298406493418,1.7123548379451874,0.520425850574138
11,2.9123870929407607,0.44656056066109884,1.7123548379451874,0.520425850574138
12,2.337366656250548,0.09731935392598379,1.7123548379451874,0.520425850574138
13,1.4054958011438323,0.02190188289361439,1.7123548379451874,0.520425850574138
14,0.47132558128196805,0.3415244766212273,1.7123548379451874,0.520425850574138
15,2.2368388461643733,0.483754866217105,1.7123548379451874,0.520425850574138
16,0.9842178208330744,0.18522985301743444,1.7123548379451874,0.520425850574138
17,1.4139718757146658,0.09473567954214285,1.7123548379451874,0.520425850574138
18,0.39846530095306026,0.23785246311296687,1.7123548379451874,0.520425850574138
19,0.6884589536621436,0.3349069973412552,1.7123548379451874,0.520425850574138
20,1.317084237428269,0.4163390980289187,1.7123548379451874,0.520425850574138
21,2.1037926549867247,0.15618332069102053,1.7123548379451874,0.520425850574138
22,2.4984568061716512,0.40238217874840093,1.7123548379451874,0.520425850574138
23,1.1685603533002218,0.14416405196512205,1.7123548379451874,0.520425850574138
24,2.0506615568851765,0.0698762418046549,1.7123548379451874,0.520425850574138
25,0.6077255254005739,0.003681134875502756,1.7123548379451874,0.520425850574138
26,2.3629038887313936,0.33242542829601607,1.7123548379451874,0.520425850574138
27,2.118444482092742,0.39036451551098394,1.7123548379451874,0.520425850574138
28,1.3821581688596365,0.28437059797644687,1.7123548379451874,0.520425850574138
29,0.4279930244016958,0.05726503676798672,1.7123548379451874,0.520425850574138
30,2.0085248557535103,0.23554810307156626,1.7123548379451874,0.520425850574138
31,1.7000559583787547,0.3824994287080128,1.7123548379451874,0.520425850574138
32,1.9078077768017667,0.2767897003289979,1.7123548379451874,0.520425850574138
33,1.6820294106287865,0.1519750490313061,1.7123548379451874,0.520425850574138
34,0.10214532535813882,0.21835869461618118,1.7123548379451874,0.520425850574138
35,0.6516081717303923,0.20426432186231808,1.7123548379451874,0.520425850574138
36,2.5616751890718166,0.11696974293267037,1.7123548379451874,0.5204258505741383
37,0.18432519765030742,0.14069194601099827,1.7123548379451874,0.520425850574138
38,0.8878453357223841,0.33095825736344753,1.7123548379451874,0.5204258505741377
39,1.6755261355004223,0.39194910455320675,1.7123548379451874,0.520425850574138
40,1.9962974855788889,0.20319343072003526,1.7123548379451874,0.520425850574138
41,2.4439209501514436,0.08348645995385195,1.7123548379451874,0.520425850574138
42,0.07790909867024283,0.045023930387820876,1.7123548379451874,0.520425850574138
43,2.1698544582833863,0.2309386151256937,1.7123548379451874,0.520425850574138
44,0.4922026193104694,0.25052238755168177,1.7123548379451874,0.520425850574138
45,0.4654131871123736,0.348160187538868,1.7123548379451874,0.520425850574138
46,1.3440072639663518,0.19051061304824124,1.7123548379451874,0.5204258505741383
47,0.9115211465521509,0.31514129655944423,1.7123548379451874,0.520425850574138
48,1.0918197055546375,0.0438249596580505,1.7123548379451874,0.520425850574138
49,0.36283764734034085,0.48094883227475727,1.7123548379451874,0.520425850574138
50,2.726656265215745,0.3498535669053748,1.7123548379451874,0.520425850574138
51,0.8049511847639637,0.48458818867386194,1.7123548379451874,0.520425850574138
52,2.338465202857726,0.3584450945794978,1.7123548379451874,0.520425850574138
53,1.3535908914099282,0.1361207809225795,1.7123548379451874,0.5204258505741383
54,0.2982089768389629,0.45130119827192083,1.7123548379451874,0.520425850574138
55,1.3727711066024972,0.10118168239761516,1.7123548379451874,0.520425850574138
56,0.924810306210451,0.289609784470948,1.7123548379451874,0.520425850574138
57,0.5385506209883029,0.42830714204618775,1.7123548379451874,0.520425850574138
58,2.277973394207278,0.3597314779754684,1.7123548379451874,0.520425850574138
59,1.3019581889275602,0.3136544203512216,1.7123548379451874,0.520425850574138
60,1.7564529270490794,0.32492330077741,1.7123548379451874,0.520425850574138
61,0.2624885202082684,0.20790370108530482,1.7123548379451874,0.520425850574138
62,0.13442637984705852,0.24699540962225947,1.7123548379451874,0.520425850574138
63,0.9962850248750281,0.07226209443302345,1.7123548379451874,0.520425850574138
64,0.31917487349042944,0.293822286088856,1.7123548379451874,0.520425850574138
65,0.5200729759252894,0.4625600591883986,1.7123548379451874,0.520425850574138
66,1.747372807704181,0.17343490226741853,1.7123548379451874,0.520425850574138
67,1.7768373195294362,0.011401935514848749,1.7123548379451874,0.520425850574138
68,2.8760920475919214,0.24115171847145012,1.7123548379451874,0.520425850574138
69,2.350378329478356,0.041364999961219284,1.7123548379451874,0.5204258505741377
70,1.4651084092060995,0.24535349717726046,1.7123548379451874,0.520425850574138
71,2.814101100375199,0.2858640261880377,1.7123548379451874,0.520425850574138
72,1.425733309160292,0.1334878315459468,1.7123548379451874,0.520425850574138
73,1.001391302054231,0.2603362012357689,1.7123548379451874,0.520425850574138
74,1.3223452663120896,0.010806039940165213,1.7123548379451874,0.520425850574138
75,2.48061285334113,0.44808038591988336,1.7123548379451874,0.520425850574138
76,0.42934477610584626,0.2770180717695247,1.7123548379451874,0.520425850574138
77,0.33464146599497624,0.33612004651990585,1.7123548379451874,0.520425850574138
78,0.8508890136786349,0.3297113173459509,1.7123548379451874,0.520425850574138
79,2.183713896717779,0.3843237459588285,1.7123548379451874,0.520425850574138
80,0.33214542840813077,0.45800592256880396,1.7123548379451874,0.520425850574138
81,0.6983398327756937,0.01870627808808989,1.7123548379451874,0.520425850574138
82,1.6690088834805354,0.18546114193121938,1.7123548379451874,0.520425850574138
83,2.4910713319659155,0.4041257360321509,1.7123548379451874,0.520425850574138
84,0.9582452895399189,0.4764496975348725,1.7123548379451874,0.520425850574138
85,0.8798443360389547,0.25752856461585727,1.7123548379451874,0.520425850574138
86,0.7753356207971323,0.46802178502448166,1.7123548379451874,0.520425850574138
87,0.5021773745702343,0.022455309696164494,1.7123548379451874,0.520425850574138
88,1.3109402094090836,0.4961877820279185,1.7123548379451874,0.520425850574138
89,2.6761150261021927,0.3743040097284746,1.7123548379451874,0.520425850574138
90,2.673469547726789,0.4467233198489316,1.7123548379451874,0.520425850574138
91,1.5613864975554828,0.1579645259153965,1.7123548379451874,0.5204258505741383
92,2.318317172011854,0.33083063158388054,1.7123548379451874,0.520425850574138
93,1.1272366093323931,0.047233334030757634,1.7123548379451874,0.520425850574138
94,2.242900937933588,0.13123025796143234,1.7123548379451874,0.520425850574138
95,2.811071320096,0.12048528750284238,1.7123548379451874,0.520425850574138
