idx,R_P,Dmean,beta,h,a_B,mu_S,mu_I,delta,eta,mu_F,R_B,sigma_A,sigma_F,phi,T,K0,c_B,kappa
0,0.12270270856050061,56208997161648.87,0.015681251835336908,0.0046461085044726584,0.007200387150961619,0.025803134550643588,0.018889500573396844,0.17914222772437055,0.6167554906174741,0.024667302378030907,10.081389211881994,0.6884341754795803,0.5692937798830483,0.06438506561901698,62.213214913058785,2.0028868863146214,0.021163114955955815,700000000000.0
1,0.026282704853177172,78295470974239.14,0.02374121216748257,0.009543403164422967,0.0033208897916617605,0.019795460246272014,0.03381340970719677,0.11476594802353263,0.41749928620978183,0.050346372684394375,12.656448068353956,0.708638509720219,0.5534647855472248,0.05033515705548397,60.52644634159803,1.9420588634323017,0.02065300826907426,700000000000.0
2,0.03608893954653072,48832393402973.77,0.027964364627908873,0.004342929065317662,0.008058955402264029,0.02543634049504381,0.010061718271855844,0.16844117965174416,0.6785499172060284,0.047906377588196755,8.901828594693761,0.702363237914072,0.42026370324925416,0.06524713810115364,51.243614529881896,2.3060058823506,0.0213234525585107,700000000000.0
3,4.733194987992979,0.42900276761802764,0.03951998835494131,0.009798351473563435,0.000859449582502836,0.00782316584867413,0.04166426514225784,0.2001281548624747,0.7217263638284523,0.05048813134106507,15.25844444563203,0.5305715826454319,0.5279877613189584,0.055877542243879634,57.74412474380391,1.8835570313462782,0.020197605681569208,0.0022679552016974546
4,0.2266092496295307,0.6762558557530949,0.03298509060270592,0.0030150576558016164,0.0002519749892377889,0.005672644530107171,0.04587101322876372,0.06782854834041832,0.8476324146918292,0.031583170258747684,6.717938098837371,0.7144854905886984,0.5105760825460418,0.05604970658513967,53.08854969801183,1.746343095027582,0.0200236490114454,0.01116204793495843
5,0.006407406657500026,54550944672296.58,0.01533320241729428,0.0045788868340879505,0.006805184270883227,0.02919029989007753,0.01981528350008288,0.18005091250581956,0.5631096811811551,0.07414147050875669,10.27995817545769,0.8944578475786504,0.453785619829194,0.011014320324344747,57.46001984865547,2.1649434224628648,0.021211623743711758,700000000000.0
6,0.005539666253233913,36124744091379.01,0.009776510205725095,0.0008691878291572976,0.00942659026301387,0.025363719049831247,0.01485243033996023,0.12061936582568511,0.7476232274289333,0.07755292999308193,6.4480437365275565,0.624484681789713,0.6622848358691523,0.0316276228008079,61.68382782297354,1.83722327764389,0.020893376514376356,700000000000.0
7,0.0911097837116948,79749601361867.7,0.01627337199628077,0.001246197329663836,0.007463793181492562,0.01815092291683997,0.031059230374855376,0.19104300800113005,0.4405411363391118,0.026779869028777412,12.96373086198291,0.6911767330332057,0.4494634659561033,0.018336213464241687,59.596608876555734,1.7325701597063197,0.021341128587802263,700000000000.0
8,0.021817764585412833,36436926728672.69,0.03377375422694343,0.006748675054497653,0.0012123943698100687,0.021658202147349988,0.04997759781071753,0.21342163086484484,0.8498967838337189,0.04621237095227605,6.093234785106116,0.8797082794598974,0.43257345150911963,0.05261307737243116,64.63697049929988,1.9508120730917402,0.020115291488232448,700000000000.0
9,1.325057948879723,0.6101653258944111,0.028388451496018537,0.00845131196003861,0.005569600030608144,0.010581051690345549,0.026773197759251643,0.08043711873636729,0.8115490640703984,0.05111424147575464,14.984152485355303,0.6795897332016562,0.46662987180408066,0.046786179135678424,50.85809348082409,1.7810980441911994,0.021189142787339202,0.0019561089619922574
10,,1851114496406.8813,0.014399268208178734,0.0028559157920167782,0.002409081677138403,0.026737201883802197,0.032011506989067844,0.12913677760929249,0.8670496417217203,0.03558329483346595,15.179521720475115,0.7208263801157275,0.45824292745288614,0.062330706319113596,53.62075970425777,1.694925092699615,0.020495849761554358,16385195451.169708
11,0.038870525372639374,0.6773108119001832,0.007693924581980582,0.0014418147049247473,0.004526096817479853,0.0035020916146966123,0.02937757217520859,0.23756192714515123,0.4112202896566035,0.04709167566875605,12.595076331684883,0.6144710043935613,0.31204578246434483,0.06974337589954863,62.79898302353638,1.879677572207993,0.02085723124097793,0.0021883860716608136
12,11.940808888762405,0.33983247338183775,0.03625345677791304,0.00012549878820345496,0.00532774336420894,0.0038262108852249654,0.0069896746322751675,0.05796390440729507,0.8747664411255439,0.0664852018872614,15.804875185791813,0.6718638254415358,0.40300050941638077,0.08611493100704898,50.2854567650555,2.1222893557024087,0.021429647437530574,0.0010782019449509033
13,0.39946113874574196,0.6721830776737614,0.015824753466444977,0.004774315729934765,0.006290409692535608,0.0041387402817410195,0.039409449589647205,0.17067686668220533,0.5131753273604047,0.022491803022082757,9.267974676916879,0.5932348998638679,0.48267242857465537,0.06929776913964888,52.367130382467174,1.9675896650376579,0.020917673710106652,0.0038579203685907442
14,0.040316665341816105,33426449074.382256,0.021022608961333792,0.0013429908983165128,0.008107883747635044,0.015308710431350271,0.03678710596629919,0.16359824744390153,0.8372330499996556,0.041109600165575216,13.461731020264711,0.662945755953749,0.5135943730991703,0.04064881743862052,61.899626633996846,2.293223310510612,0.022002371966289538,255338682.59293446
15,0.024752125527723174,0.6599097725472249,0.024047572092505687,0.004019116100595693,0.006944507093334511,0.011318975971775495,0.023519819944550522,0.08461538128911256,0.48100364284593,0.0728576101749891,7.719632636899568,0.7151584436757671,0.5150974832656513,0.08960570328050951,48.851174583047296,1.846074624499717,0.020791730360341428,0.014587327544068442
16,0.03905971860979076,53671915140510.43,0.014863419552837525,0.002751907286738356,0.00966427439264033,0.012901263246638359,0.04191965775909531,0.13774596826227847,0.8447249597015614,0.04224199609850442,7.382650989166631,0.514837567257627,0.45683075151165725,0.056662493930499346,58.217449109659164,2.4566009836591642,0.021402187846129905,700000000000.0
17,0.017829694027568566,0.8275096093015432,0.030000807541635605,0.008254759221952224,0.0063182744621512925,0.014089837081065242,0.03241241891627241,0.22542759963848497,0.4955607440900822,0.058139289366379104,11.103042677411313,0.6599707182853337,0.39041260262733396,0.06950330363418361,55.825347149143845,2.2696480024036325,0.021273764062492706,0.05875976942646311
18,0.009274176389676566,36136518647786.18,0.029169198482998687,0.003226160898756565,0.005200972537246444,0.017892994700681262,0.03182274598420491,0.19371008309037707,0.8641656772820241,0.07423406208793099,6.049926298949926,0.8287293567652738,0.4651289579394356,0.07904515730566382,52.73968384425516,1.673361277023947,0.020421225201235512,700000000000.0
19,0.026225815089155422,82744714409144.11,0.01644901116187723,1.7940339600740894e-06,0.00528767929031634,0.020186665746196354,0.04872981110994612,0.2021023062145283,0.5548866074054724,0.05471480136657619,13.35592312614015,0.5404418858050103,0.691509431336168,0.043454777702568344,59.803426591124726,2.0960349764880366,0.021184206742379353,700000000000.0
