p,max_abs_eig,eig1,eig2,eig3,A_star,F_star,K_star
0.01,0.7744138406675671,(0.6412326334477415+0.4342090584259689j),(0.6412326334477415-0.4342090584259689j),(3.170493444958643e-18+0j),1.281936346090617,0.07343034592268169,1.703460164177518
0.01183673469387755,0.7739031500291468,(0.6412980135142753+0.43320081196562915j),(0.6412980135142753-0.43320081196562915j),(-2.3617863792451397e-18+0j),1.282470548606666,0.0732392127113387,1.7018318666608923
0.013673469387755103,0.7733915535143778,(0.6413632121470119+0.4321894551604075j),(0.6413632121470119-0.4321894551604075j),(5.3846001649539205e-18+0j),1.2830055034270031,0.07304784886349242,1.700205246452953
0.015510204081632653,0.7728790489270609,(0.6414282290724109+0.4311749659006526j),(0.6414282290724109-0.4311749659006526j),(-2.4187974272808684e-18+0j),1.2835412117182694,0.07285625409695633,1.698580301879717
0.017346938775510204,0.7723656340621582,(0.6414930640171286+0.4301573218000084j),(0.6414930640171286-0.4301573218000084j),(-6.966589893668911e-18+0j),1.2840776746489173,0.07266442812926008,1.6969570312688012
0.019183673469387756,0.7718513067057404,(0.6415577167080202+0.42913650019049965j),(0.6415577167080202-0.42913650019049965j),(6.039436495380159e-18+0j),1.2846148933892214,0.07247237067764885,1.6953354329494197
0.02102040816326531,0.7713360646349257,(0.6416221868721343+0.42811247811750847j),(0.6416221868721343-0.42811247811750847j),(-6.690231159394278e-19+0j),1.2851528691112721,0.07228008145908486,1.6937155052523831
0.02285714285714286,0.77081990561783,(0.6416864742367221+0.4270852323346302j),(0.6416864742367221-0.4270852323346302j),(7.812306657000233e-18+0j),1.285691602988979,0.0720875601902466,1.6920972465100963
0.02469387755102041,0.7703028274135156,(0.6417505785292412+0.42605473929841536j),(0.6417505785292412-0.42605473929841536j),(-4.2298769929929605e-18+0j),1.2862310961980747,0.0718948065875288,1.690480655056556
0.026530612244897958,0.7697848277719245,(0.6418144994773493+0.42502097516298054j),(0.6418144994773493-0.42502097516298054j),(-2.3650411320616786e-18+0j),1.2867713499161157,0.07170182036704272,1.6888657292273508
