B_index,beta,R_P,A_star,K_star
0.5,0.005,0.2187266075660688,4.3603775350519065,1.6294035760948609
0.5,0.006458333333333333,0.2871948363945467,4.36037753506448,1.6294035760949614
0.5,0.007916666666666667,0.37320144815201983,4.360377535103219,1.629403576095259
0.5,0.009375000000000001,0.48049436481029045,4.360377535058343,1.6294035760949401
0.5,0.010833333333333334,0.6135019130172764,4.360377535048959,1.6294035760948877
0.5,0.012291666666666666,0.7774395060340372,4.360377535044236,1.6294035760948726
0.5,0.013750000000000002,0.9784309435189544,4.36037753504792,1.6294035760948122
0.5,0.015208333333333334,1.2236461456215242,4.360377535037627,1.6294035760948764
0.5,0.016666666666666666,1.5214573198587729,4.360377535034439,1.6294035760948873
0.5,0.018125000000000002,1.8816156965251303,4.3603775350310325,1.6294035760949033
0.5,0.019583333333333335,2.315451299954996,4.3603775350270375,1.629403576094923
0.5,0.021041666666666667,2.8360984735153787,4.3603775350226,1.629403576094949
0.5,0.022500000000000003,3.458749989895999,4.360377535017323,1.62940357609498
0.5,0.023958333333333335,4.200943243902914,4.3603775350160126,1.629403576097497
0.5,0.025416666666666667,5.08288190233358,4.360377535004008,1.6294035760950636
0.5,0.026875000000000003,6.127797158533577,4.3603775349954725,1.6294035760951175
0.5,0.028333333333333335,7.362353029734678,4.3603775349855285,1.6294035760951815
0.5,0.029791666666666668,8.81710014818015,4.360377534973686,1.629403576095256
0.5,0.03125,10.52698422022217,4.360377534959901,1.6294035760953451
0.5,0.03270833333333333,12.53191356270358,4.360377535041921,1.6294035760947692
0.5,0.034166666666666665,14.87739420026679,4.360377534924465,1.6294035760955685
0.5,0.035625000000000004,17.615237193836297,4.3603775349021,1.6294035760957093
0.5,0.03708333333333333,20.80434794182892,4.360377534875907,1.6294035760958725
0.5,0.03854166666666667,24.5116051943533,4.360377534845421,1.6294035760960628
0.5,0.04,28.812837912450817,4.360377534809807,1.6294035760962824
0.5625,0.005,0.20855020356764498,4.003564141474174,1.6333328322714267
0.5625,0.006458333333333333,0.2707025838212731,4.003564141486869,1.633332832271505
0.5625,0.007916666666666667,0.3480138384380961,4.003564141562231,1.6333328322719451
0.5625,0.009375000000000001,0.4435684820566064,4.0035641414983285,1.6333328322715894
0.5625,0.010833333333333334,0.5609841929640095,4.003564141476709,1.6333328322714813
0.5625,0.012291666666666666,0.7044914250698544,4.003564141469094,1.6333328322714549
0.5625,0.013750000000000002,0.879023375897579,4.003564141464589,1.6333328322714489
0.5625,0.015208333333333334,1.0903175790092674,4.003564141460573,1.633332832271449
0.5625,0.016666666666666666,1.345030447452563,4.003564141456952,1.6333328322714562
